build_id,metal_symbol,metal_ox,SMILES_FOR_ARCHITECTOR,coreCN,n_ligs,inner_sphere_anion,fill_ligand,n_fill,xyz_path,required_outputs,calculation_status,binding_energy_definition
a76a8b802706,La,3,,9,1,water,,,data/processed/geometries_family_regenerated/template_large_rigid/accepted/La/La_Z57_ox3_CN9_nlig1_water_a76a8b802706_attempt01_large_ligand_fast.xyz,binding_energy_eV;strain_energy_eV;homo_eV;lumo_eV;homo_lumo_gap_eV,not_run_requires_reference_xtb,E_complex-(E_Ln_ion+n_ligs*E_free_ligand+n_fill*E_free_fill); all references must use the same xTB method/charge convention
08140b63d6f3,Lu,3,,8,1,nitrate,,,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Lu/Lu_Z71_ox3_CN8_nlig1_nitrate_08140b63d6f3_attempt01_large_ligand_fast.xyz,binding_energy_eV;strain_energy_eV;homo_eV;lumo_eV;homo_lumo_gap_eV,not_run_requires_reference_xtb,E_complex-(E_Ln_ion+n_ligs*E_free_ligand+n_fill*E_free_fill); all references must use the same xTB method/charge convention
727bfd0c6ac8,Lu,3,,8,1,water,,,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Lu/Lu_Z71_ox3_CN8_nlig1_water_727bfd0c6ac8_attempt01_large_ligand_fast.xyz,binding_energy_eV;strain_energy_eV;homo_eV;lumo_eV;homo_lumo_gap_eV,not_run_requires_reference_xtb,E_complex-(E_Ln_ion+n_ligs*E_free_ligand+n_fill*E_free_fill); all references must use the same xTB method/charge convention
c08199fcc06a,Nd,3,,9,1,water,,,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Nd/Nd_Z60_ox3_CN9_nlig1_water_c08199fcc06a_attempt01_large_ligand_fast.xyz,binding_energy_eV;strain_energy_eV;homo_eV;lumo_eV;homo_lumo_gap_eV,not_run_requires_reference_xtb,E_complex-(E_Ln_ion+n_ligs*E_free_ligand+n_fill*E_free_fill); all references must use the same xTB method/charge convention
880bcc070ebf,Nd,3,,9,1,water,,,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Nd/Nd_Z60_ox3_CN9_nlig1_water_880bcc070ebf_attempt01_large_ligand_fast.xyz,binding_energy_eV;strain_energy_eV;homo_eV;lumo_eV;homo_lumo_gap_eV,not_run_requires_reference_xtb,E_complex-(E_Ln_ion+n_ligs*E_free_ligand+n_fill*E_free_fill); all references must use the same xTB method/charge convention
9edd30d43217,Pr,3,,9,1,water,,,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Pr/Pr_Z59_ox3_CN9_nlig1_water_9edd30d43217_attempt01_large_ligand_fast.xyz,binding_energy_eV;strain_energy_eV;homo_eV;lumo_eV;homo_lumo_gap_eV,not_run_requires_reference_xtb,E_complex-(E_Ln_ion+n_ligs*E_free_ligand+n_fill*E_free_fill); all references must use the same xTB method/charge convention
cd4e4f1ad90f,Sm,3,,9,1,water,,,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Sm/Sm_Z62_ox3_CN9_nlig1_water_cd4e4f1ad90f_attempt01_large_ligand_fast.xyz,binding_energy_eV;strain_energy_eV;homo_eV;lumo_eV;homo_lumo_gap_eV,not_run_requires_reference_xtb,E_complex-(E_Ln_ion+n_ligs*E_free_ligand+n_fill*E_free_fill); all references must use the same xTB method/charge convention
720248d0b7c3,Tb,3,,8,1,nitrate,,,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Tb/Tb_Z65_ox3_CN8_nlig1_nitrate_720248d0b7c3_attempt01_large_ligand_fast.xyz,binding_energy_eV;strain_energy_eV;homo_eV;lumo_eV;homo_lumo_gap_eV,not_run_requires_reference_xtb,E_complex-(E_Ln_ion+n_ligs*E_free_ligand+n_fill*E_free_fill); all references must use the same xTB method/charge convention
5f2b8468aa9e,Tb,3,,8,1,water,,,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Tb/Tb_Z65_ox3_CN8_nlig1_water_5f2b8468aa9e_attempt01_large_ligand_fast.xyz,binding_energy_eV;strain_energy_eV;homo_eV;lumo_eV;homo_lumo_gap_eV,not_run_requires_reference_xtb,E_complex-(E_Ln_ion+n_ligs*E_free_ligand+n_fill*E_free_fill); all references must use the same xTB method/charge convention
489589433060,Tm,3,,8,1,nitrate,,,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Tm/Tm_Z69_ox3_CN8_nlig1_nitrate_489589433060_attempt01_large_ligand_fast.xyz,binding_energy_eV;strain_energy_eV;homo_eV;lumo_eV;homo_lumo_gap_eV,not_run_requires_reference_xtb,E_complex-(E_Ln_ion+n_ligs*E_free_ligand+n_fill*E_free_fill); all references must use the same xTB method/charge convention
b3aab25af2f6,Tm,3,,8,1,water,,,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Tm/Tm_Z69_ox3_CN8_nlig1_water_b3aab25af2f6_attempt01_large_ligand_fast.xyz,binding_energy_eV;strain_energy_eV;homo_eV;lumo_eV;homo_lumo_gap_eV,not_run_requires_reference_xtb,E_complex-(E_Ln_ion+n_ligs*E_free_ligand+n_fill*E_free_fill); all references must use the same xTB method/charge convention
22118ecd164c,Yb,3,,8,1,water,,,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Yb/Yb_Z70_ox3_CN8_nlig1_water_22118ecd164c_attempt01_large_ligand_fast.xyz,binding_energy_eV;strain_energy_eV;homo_eV;lumo_eV;homo_lumo_gap_eV,not_run_requires_reference_xtb,E_complex-(E_Ln_ion+n_ligs*E_free_ligand+n_fill*E_free_fill); all references must use the same xTB method/charge convention
810d12deae71,Eu,3,,9,1,nitrate,,,data/processed/geometries_family_regenerated/template_other/accepted/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_810d12deae71_attempt01_standard.xyz,binding_energy_eV;strain_energy_eV;homo_eV;lumo_eV;homo_lumo_gap_eV,not_run_requires_reference_xtb,E_complex-(E_Ln_ion+n_ligs*E_free_ligand+n_fill*E_free_fill); all references must use the same xTB method/charge convention
bfb8463109f9,Eu,3,,9,2,nitrate,,,data/processed/geometries_family_regenerated/template_other/accepted/Eu/Eu_Z63_ox3_CN9_nlig2_nitrate_bfb8463109f9_attempt01_standard.xyz,binding_energy_eV;strain_energy_eV;homo_eV;lumo_eV;homo_lumo_gap_eV,not_run_requires_reference_xtb,E_complex-(E_Ln_ion+n_ligs*E_free_ligand+n_fill*E_free_fill); all references must use the same xTB method/charge convention
3ead850b1035,Eu,3,,9,1,water,,,data/processed/geometries_family_regenerated/template_other/accepted/Eu/Eu_Z63_ox3_CN9_nlig1_water_3ead850b1035_attempt01_standard.xyz,binding_energy_eV;strain_energy_eV;homo_eV;lumo_eV;homo_lumo_gap_eV,not_run_requires_reference_xtb,E_complex-(E_Ln_ion+n_ligs*E_free_ligand+n_fill*E_free_fill); all references must use the same xTB method/charge convention
824d835c63ca,Pr,3,,9,1,water,,,data/processed/geometries_family_regenerated/template_other/accepted/Pr/Pr_Z59_ox3_CN9_nlig1_water_824d835c63ca_attempt01_standard.xyz,binding_energy_eV;strain_energy_eV;homo_eV;lumo_eV;homo_lumo_gap_eV,not_run_requires_reference_xtb,E_complex-(E_Ln_ion+n_ligs*E_free_ligand+n_fill*E_free_fill); all references must use the same xTB method/charge convention
a477b66d3580,Tb,3,,8,4,nitrate,,,data/processed/geometries_family_regenerated/template_other/accepted/Tb/Tb_Z65_ox3_CN8_nlig4_nitrate_a477b66d3580_attempt01_standard.xyz,binding_energy_eV;strain_energy_eV;homo_eV;lumo_eV;homo_lumo_gap_eV,not_run_requires_reference_xtb,E_complex-(E_Ln_ion+n_ligs*E_free_ligand+n_fill*E_free_fill); all references must use the same xTB method/charge convention
db492aca339e,Ce,3,,9,3,nitrate,,,data/processed/geometries_family_regenerated/template_pincer/accepted/Ce/Ce_Z58_ox3_CN9_nlig3_nitrate_db492aca339e_attempt01_standard.xyz,binding_energy_eV;strain_energy_eV;homo_eV;lumo_eV;homo_lumo_gap_eV,not_run_requires_reference_xtb,E_complex-(E_Ln_ion+n_ligs*E_free_ligand+n_fill*E_free_fill); all references must use the same xTB method/charge convention
39706cc981cc,Dy,3,,8,1,nitrate,,,data/processed/geometries_family_regenerated/template_pincer/accepted/Dy/Dy_Z66_ox3_CN8_nlig1_nitrate_39706cc981cc_attempt01_standard.xyz,binding_energy_eV;strain_energy_eV;homo_eV;lumo_eV;homo_lumo_gap_eV,not_run_requires_reference_xtb,E_complex-(E_Ln_ion+n_ligs*E_free_ligand+n_fill*E_free_fill); all references must use the same xTB method/charge convention
e60cac798f29,Dy,3,,9,3,nitrate,,,data/processed/geometries_family_regenerated/template_pincer/accepted/Dy/Dy_Z66_ox3_CN9_nlig3_nitrate_e60cac798f29_attempt02_large_ligand_fast.xyz,binding_energy_eV;strain_energy_eV;homo_eV;lumo_eV;homo_lumo_gap_eV,not_run_requires_reference_xtb,E_complex-(E_Ln_ion+n_ligs*E_free_ligand+n_fill*E_free_fill); all references must use the same xTB method/charge convention
