smiles_for_architector_used,n_metals,n_rows,n_core_sigs,qc_bad,qc_borderline,qc_ok,max_core_dist,min_gap,metals,core_sigs
CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1,1,1,1,1,0,0,3.7286116504341225,0.5685890063740446,Eu,O9
CC(C)(C)c1ccc(NC(=O)c2cnccn2)cc1,1,1,1,1,0,0,4.081112857423422,0.1394439710442538,Eu,"N6,O3"
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21,1,1,1,1,0,0,3.280381529828118,0.6460859945547517,Eu,"N8,O1"
CC1(C)OC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)OC6(C)C)n4)n3)nnc21,1,1,1,1,0,0,3.920596896997808,0.0405196654901574,Eu,"N6,O3"
CC12CCC(c3nnc(-c4cccc(-c5cccc(-c6nnc7c(n6)C6(C)CCC7C6(C)C)n5)n4)nc31)C2(C)C,1,1,1,1,0,0,4.4716886249401835,,Eu,"N8,O1"
CCCCCCCCCCCCNC(=O)c1cc(OC)ccn1,1,1,1,1,0,0,4.209580140702529,0.051112948540986,Eu,"N4,O5"
CCCCCCCCCCCCOCc1cc(-n2ccc(C)n2)nc(-n2ccc(C)n2)c1,1,1,1,1,0,0,3.1518840934655783,0.2708050763752294,Eu,"N6,O3"
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,1,1,1,1,0,0,3.674277533413072,0.7193817476485322,Eu,O9
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,1,1,1,1,0,0,3.628510421072204,0.2349970730667094,Eu,O9
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccccc2n1,1,1,1,1,0,0,3.6588579524170872,0.9341497304749012,Eu,"N4,O5"
CCCCCCCCN(CCCCCCCC)C(=S)c1ccc(C(=S)N(CCCCCCCC)CCCCCCCC)s1,1,1,1,1,0,0,3.4000778722911305,0.179982690851125,Eu,"N2,O5,S2"
CCCCCCCCNC(=O)c1cc(OC)ccn1,1,1,1,1,0,0,4.0095185279447945,0.1989015152241053,Eu,"N5,O4"
CCCCCCCCNC(=O)c1cnccn1,1,1,1,1,0,0,4.0691316577266265,0.1001368987778272,Eu,"N6,O3"
CCCCCCCCOc1cc(C(=O)Nc2ccc(C(C)(C)C)cc2)nc(C(=O)Nc2ccc(C(C)(C)C)cc2)c1,1,1,1,1,0,0,4.248055919998857,0.0096502307765113,Eu,"N3,O6"
CCCCP(=S)(CCCC)CP(=S)(CCCC)CCCC,1,1,1,1,0,0,3.6789531399694906,0.3701375996894662,Eu,"O1,S8"
CCOP(=O)(OCC)c1ccc2ccc3ccc(P(=O)(OCC)OCC)nc3c2n1,1,1,1,1,0,0,3.2025057787959668,0.0708007179612648,Eu,"N2,O5,P2"
Cc1cc(C)n(-c2cncc(-n3nc(C)cc3C)n2)n1,1,1,1,1,0,0,3.554283475462954,0.0552783330916581,Eu,"N6,O3"
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,1,1,1,1,0,0,3.577117559126433,0.3239257763714693,Eu,"N1,O8"
CCN(C(=O)c1cccc(C(=O)N(CC)c2cccc(C)c2)n1)c1cccc(C)c1,14,14,3,0,7,7,2.6792085932125573,0.0027845033381637,Ce;Dy;Er;Eu;Gd;Ho;La;Lu;Nd;Pr;Sm;Tb;Tm;Yb,"N2,O6;N3,O5;N3,O6"
CCN(C(=O)c1cccc(C(=O)N(CC)c2ccccc2C)n1)c1ccccc1C,14,14,2,0,7,7,2.643098450673373,0.0111210548963871,Ce;Dy;Er;Eu;Gd;Ho;La;Lu;Nd;Pr;Sm;Tb;Tm;Yb,"N2,O6;N3,O6"
CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,14,14,2,0,7,7,2.8278566274252954,0.0005762126925574,Ce;Dy;Er;Eu;Gd;Ho;La;Lu;Nd;Pr;Sm;Tb;Tm;Yb,"N2,O6;N3,O6"
CCCCCCN(CCC(C)CCC=C(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCC=C(C)C,14,14,2,0,5,9,3.0664805651011897,0.376455958065053,Ce;Dy;Er;Eu;Gd;Ho;La;Lu;Nd;Pr;Sm;Tb;Tm;Yb,O8;O9
CCN(C(=O)c1cccc(C(=O)N(CC)c2ccc(C)cc2)n1)c1ccc(C)cc1,14,14,3,0,5,9,2.6693263772822142,0.0182980658970137,Ce;Dy;Er;Eu;Gd;Ho;La;Lu;Nd;Pr;Sm;Tb;Tm;Yb,"N2,O6;N3,O5;N3,O6"
CCN(CC)C(=O)COCC(=O)N(CC)CC,14,14,2,0,5,9,2.795105583151953,0.0133985725513978,Ce;Dy;Er;Eu;Gd;Ho;La;Lu;Nd;Pr;Sm;Tb;Tm;Yb,"N1,O7;O9"
c1cc2nc(c1)COc1ccccc1OCCOCCOc1ccccc1OC2,5,5,3,0,4,1,2.755576357556033,0.0093331817068174,Ce;Er;Eu;La;Pr,"N1,O8;N2,O6;N2,O7"
CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1,14,14,3,0,3,11,2.945492187633326,0.0049667448238754,Ce;Dy;Er;Eu;Gd;Ho;La;Lu;Nd;Pr;Sm;Tb;Tm;Yb,"N4,O4;N5,O3;N6,O3"
CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC,14,14,2,0,3,11,3.0157494483876643,1.0643694342627814,Ce;Dy;Er;Eu;Gd;Ho;La;Lu;Nd;Pr;Sm;Tb;Tm;Yb,O8;O9
CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,11,14,3,0,3,11,2.8154477348475377,0.0023304353431252,Ce;Dy;Er;Eu;Gd;La;Lu;Nd;Sm;Tb;Yb,"N1,O7;O8;O9"
CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,13,13,2,0,3,10,3.0821680914270355,1.1952297092528403,Ce;Dy;Er;Eu;Gd;Ho;La;Lu;Nd;Pr;Tb;Tm;Yb,O8;O9
CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,10,10,2,0,3,7,3.074752271883028,0.8787457319432708,Ce;Dy;Er;Eu;Gd;Ho;La;Lu;Sm;Yb,O8;O9
CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,8,8,2,0,3,5,3.086840869931578,0.0610197925028175,Dy;Er;Eu;Gd;La;Lu;Nd;Sm,"N1,O7;O9"
CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,13,13,3,0,2,11,2.798949729638835,0.0257076749141753,Ce;Dy;Er;Eu;Gd;Ho;La;Lu;Nd;Pr;Sm;Tm;Yb,"N1,O7;O8;O9"
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,8,8,3,0,2,6,2.8188855056771347,0.0139431757249206,Dy;Er;Eu;Gd;La;Lu;Nd;Sm,"N1,O7;O8;O9"
C1COCCOCCOCCOCCOCCO1,5,5,2,0,2,3,2.712974255394242,0.0018128312903082,Ce;Er;Eu;La;Pr,"N1,O7;N1,O8"
c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2,5,5,2,0,2,3,2.762592353955166,0.0028713374372686,Ce;Er;Eu;La;Pr,"N1,O7;N1,O8"
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)C(C)=O,1,2,2,0,2,0,3.0914256833108453,0.342171032112136,Eu,"N1,O8;O9"
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)Cc1ccccc1,1,2,1,0,2,0,3.090417040467868,1.2155635106815654,Eu,"N3,O6"
CCCCOP(=S)(COCP(=S)(OCCCC)OCCCC)OCCCC,1,2,2,0,2,0,3.0644969773692146,0.011656373959866,Eu,"N1,O6,S2;O7,S2"
CCOP(=S)(COCP(=S)(OCC)OCC)OCC,1,2,2,0,2,0,2.9798000617491263,0.0385470144044943,Eu,"N1,O7,P1;O7,S2"
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)ccc3C)n2)n1)c1cc(C)ccc1C,14,14,2,0,1,13,3.067751093569621,1.2994138031788012,Ce;Dy;Er;Eu;Gd;Ho;La;Lu;Nd;Pr;Sm;Tb;Tm;Yb,"N4,O4;N4,O5"
CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,13,13,2,0,1,12,3.0357130309324676,1.2809293718569537,Ce;Dy;Er;Eu;Gd;Ho;La;Lu;Nd;Sm;Tb;Tm;Yb,O8;O9
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,6,6,1,0,1,5,3.008791961850968,0.5999678536358477,Ce;Eu;La;Nd;Pr;Sm,O9
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,4,4,2,0,1,3,2.6757061130105524,0.0103464326630815,Ce;Er;Eu;La,"N1,O7;N1,O8"
CCCCN(CCCC)C(=O)c1ccccc1C(=O)O,3,3,2,0,1,2,2.926322989487058,0.0433079601460084,Er;Eu;La,"N1,O7;O9"
CCCCCCCCN(CCCCCCCC)C(=O)COC(C)C(=O)N(CCCCCCCC)CCCCCCCC,1,2,1,0,1,1,3.022804260950565,1.365874886701783,Eu,O9
CCCCCCN(CCCCCC)C(=O)COCC(=O)N1CCOCC1,1,2,1,0,1,1,3.0226178560701675,0.5644482335989061,Eu,O9
CCCCCC(C)Oc1cc(CNC(=O)COCC(=O)N(CCCC)CCCC)cc(CNC(=O)COCC(=O)N(CCCC)CCCC)c1,1,1,1,0,1,0,2.9724721703799446,0.6814257358470686,Eu,O9
CCCCCCCCCCCCNC(=O)c1cc(=O)cc(C(=O)NCCCCCCCCCCCC)o1,1,1,1,0,1,0,3.0948901603012304,1.4034345584587848,Eu,O9
