smiles_for_architector_used,n_metals,n_rows,n_shell_modes,cn_min,cn_max,max_dist,metals,shell_modes
CCCCCCN(CCC(C)CCC=C(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCC=C(C)C,14,14,2,8,9,3.0664805651011897,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb",O8 || O9
CCCCCCN(CCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCCC(C)C,14,14,2,8,9,3.137392592947968,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb",O8 || O9
CCCCCCN(CCCCCC)C(=O)CC(=O)N(CCCCCC)CCCCCC,9,9,3,7,9,3.0726985619611717,"Dy,Er,Eu,Gd,La,Nd,Pr,Sm,Tb",O7 || O8 || O9
CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,8,8,2,9,9,3.086840869931578,"Dy,Er,Eu,Gd,La,Lu,Nd,Sm","N1,O8 || O9"
CCCCCCOCCC(C(=O)N(C)CCCC)C(=O)N(C)CCCC,3,3,3,7,9,3.094663424492214,"Eu,La,Nd",O7 || O8 || O9
CCCCCCOP(=O)(O)OCCCCCC,4,4,2,7,8,3.0522742971546943,"Eu,Ho,La,Tb","O5,P2 || O6,P2"
CCCCCCc1ccc(N(CC)C(=O)c2cccc(-c3cccc(C(=O)N(CC)c4ccc(CCCCCC)cc4)n3)n2)cc1,14,14,2,8,9,2.9329849549976497,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb","N4,O4 || N4,O5"
CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,13,23,4,6,8,3.195223748321705,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Yb","N2,O4 || N2,O5 || N3,O4 || N3,O5"
CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,13,14,7,3,8,3.1923381140725797,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Yb","N3 || N4,O1 || N5,O1 || N6 || N6,O1 || N7 || N7,O1"
CCCCN(C)C(=O)CC(=O)N(C)CCCC,3,3,1,9,9,2.7706281545683407,"Eu,La,Nd",O9
CCCCN(CCCC)C(=O)CC(=O)N(CCCC)CCCC,9,9,2,8,9,2.7831655868361147,"Dy,Er,Eu,Gd,La,Nd,Pr,Sm,Tb",O8 || O9
CCCCN(CCCC)C(=O)CCC(=O)N(CCCC)CCCC,5,5,2,6,8,3.1773156234452204,"Dy,Eu,Gd,Nd,Sm",O6 || O8
CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,11,14,3,8,9,2.8154477348475377,"Ce,Dy,Er,Eu,Gd,La,Lu,Nd,Sm,Tb,Yb","N1,O8 || O8 || O9"
CCCCN(CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCC)CCCC)nc3c2n1,14,14,2,8,9,2.9146242488510774,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb","N4,O4 || N4,O5"
CCCCN(CCCC)C(=O)c1ccccc1C(=O)O,3,3,2,9,9,2.926322989487058,"Er,Eu,La","N1,O8 || O9"
CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,10,10,2,9,9,2.7886754415459096,"Ce,Dy,Er,Eu,Gd,La,Lu,Nd,Pr,Tm","N1,O8 || O9"
CCC[C@H](O[C@H](CCC)C(=O)N(C)C)C(=O)N(C)C,2,2,2,8,9,3.097069242675574,"Pr,Sm",O8 || O9
CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,14,14,7,5,9,3.1725093715138324,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb","N4,O1 || N4,O2 || N5,O1 || N6,O1 || N6,O2 || N6,O3 || N7,O1"
CCN(C(=O)c1ccc2ccc3ccc(C(=O)N(CC)c4ccc(C)cc4)nc3c2n1)c1ccc(C)cc1,3,3,2,8,9,2.7918222895103626,"Eu,La,Yb","N4,O4 || N4,O5"
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,14,14,2,8,9,3.1276204308922084,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb","N4,O4 || N4,O5"
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)ccc3C)n2)n1)c1cc(C)ccc1C,14,14,2,8,9,3.067751093569621,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb","N4,O4 || N4,O5"
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C,14,14,2,8,9,2.8651788653963663,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb","N4,O4 || N4,O5"
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccccc3)n2)n1)c1ccccc1,14,14,2,8,9,2.897986629017301,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb","N4,O4 || N4,O5"
CCN(C(=O)c1cccc(C(=O)N(CC)c2ccc(C)cc2)n1)c1ccc(C)cc1,14,14,1,9,9,2.6693263772822142,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb","N3,O6"
CCN(C(=O)c1cccc(C(=O)N(CC)c2cccc(C)c2)n1)c1cccc(C)c1,14,14,1,9,9,2.6792085932125573,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb","N3,O6"
CCN(C(=O)c1cccc(C(=O)N(CC)c2ccccc2C)n1)c1ccccc1C,14,14,1,9,9,2.6430984506733726,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb","N3,O6"
CCN(CC)C(=O)COCC(=O)N(CC)CC,14,14,2,9,9,2.795105583151953,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb","N1,O8 || O9"
CCc1ccc(N(CC)C(=O)c2ccc3ccc4ccc(C(=O)N(CC)c5ccc(CC)cc5)nc4c3n2)cc1,14,14,2,8,9,2.9239336895192816,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb","N4,O4 || N4,O5"
CN(C(=O)CC(=O)N(C)c1ccccc1)c1ccccc1,14,14,2,8,9,2.7943364564012803,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb",O8 || O9
CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,13,13,2,9,9,2.908478914295459,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tm,Yb","N1,O8 || O9"
CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,14,14,1,9,9,2.8278566274252954,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb","N3,O6"
CN(C)C(=O)CN(CC(=O)N(C)C)CC(=O)N(C)C,4,4,4,6,8,3.0224178569458817,"Ce,Dy,Er,Eu","N1,O7 || N2,O6 || O6 || O7"
CN(C)C(=O)COCC(=O)N(C)C,6,6,2,9,9,2.824210063228122,"Ce,Eu,La,Lu,Nd,Yb","N1,O8 || O9"
CN(C)C(=O)COCCOCC(=O)N(C)C,10,10,2,8,9,2.9398329494269997,"Ce,Dy,Eu,Gd,Ho,La,Nd,Pr,Sm,Tb",O8 || O9
COCCN(CCOC)C(=O)COCC(=O)N(CCOC)CCOC,13,13,6,8,10,3.1994341450523076,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tm,Yb","N1,O7 || N1,O8 || N1,O9 || N2,O8 || O8 || O9"
O=C(COCC(=O)N1CCCCC1)N1CCCCC1,14,14,2,8,9,2.9216310085096246,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb",O8 || O9
O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,8,8,3,7,8,3.005428582102098,"Ce,Dy,Eu,Gd,La,Nd,Pr,Sm","N1,O7 || N2,O5 || N2,O6"
O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,8,8,3,6,8,3.17590567881304,"Ce,Dy,Eu,Gd,La,Nd,Pr,Sm","N2,O4 || N2,O5 || N2,O6"
O=C(c1cc(Cl)c2ccc3c(Cl)cc(C(=O)N4CCCC4)nc3c2n1)N1CCCC1,14,14,2,8,9,2.9331219307437135,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb","N4,O4 || N4,O5"
c1cc2nc(c1)COc1ccccc1OCCOCCOc1ccccc1OC2,5,5,2,9,10,2.9007159568493153,"Ce,Er,Eu,La,Pr","N2,O7 || N2,O8"
c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2,5,5,2,9,10,2.9491591726786623,"Ce,Er,Eu,La,Pr","N1,O8 || N1,O9"
