enabled,build_id,geometry_key,ligType,DENTATE,COORDLIST,DONOR_TYPES,SMILES_FOR_ARCHITECTOR,metal_symbol,coreCN,n_ligs,inner_sphere_anion,note
1,e56f5098c185,,tetra_planar_bent,4,"[7, 20, 35, 36]","[""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)""]",CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,Eu,9,1,water,family template replan: BTBP_BTPhen_like_N4
1,3ead850b1035,,tetra_planar_bent,4,"[18, 30, 48, 51]","[""S(donor)"", ""S(donor)"", ""N(aromatic)"", ""N(aromatic)""]",CCCCCCCCN(CCCCCCCC)C(=S)c1ccc2ccc3ccc(C(=S)N(CCCCCCCC)CCCCCCCC)nc3c2n1,Eu,9,1,water,family template replan: filtered_donor_pocket_4dent
1,d69bcbed26a0,,tetra_planar_bent,4,"[21, 33, 34, 35]","[""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)""]",CC1(C)SC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)SC6(C)C)n4)n3)nnc21,Eu,9,1,water,family template replan: BTBP_BTPhen_like_N4
1,85f24a4c19c9,,tetra_planar_bent,4,"[26, 27, 28, 29]","[""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)""]",CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5ccccn5)n4)n3)nnc21,Eu,9,1,water,family template replan: BTBP_BTPhen_like_N4
1,5355a09ac181,,tetra_planar_bent,4,"[51, 53, 56, 59]","[""O(amide_carbonyl)"", ""N(aromatic)"", ""N(aromatic)"", ""O(amide_carbonyl)""]",CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,Eu,9,1,water,family template replan: large_rigid_filtered_4dent
1,1a0470dc9c6f,,tri_mer_bent,3,"[10, 18, 30]","[""O(amide_carbonyl)"", ""O(amide_carbonyl)"", ""O(ether)""]",CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1,Eu,9,3,nitrate,family template replan: compact_amide_core_3dent
1,eb62218d1b12,,tri_mer_bent,3,"[13, 26, 29]","[""O(amide_carbonyl)"", ""N(aromatic)"", ""O(amide_carbonyl)""]",CCCCCCCCOc1cc(C(=O)N(C)c2ccc(C(C)(C)C)cc2)nc(C(=O)N(C)c2ccc(C(C)(C)C)cc2)c1,Eu,9,3,nitrate,family template replan: compact_amide_core_3dent
1,da66a3b16f13,,tri_mer_bent,3,"[13, 25, 28]","[""O(amide_carbonyl)"", ""N(aromatic)"", ""O(amide_carbonyl)""]",CCCCCCCCOc1cc(C(=O)Nc2ccc(C(C)(C)C)cc2)nc(C(=O)Nc2ccc(C(C)(C)C)cc2)c1,Eu,9,3,nitrate,family template replan: compact_amide_core_3dent
1,03b447c331ab,,bi_cis_chelating,2,"[11, 23]","[""O(amide_carbonyl)"", ""O(amide_carbonyl)""]",CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,Eu,9,4,nitrate,family template replan: compact_amide_core_2dent
1,64774e79e81c,,tetra_planar_bent,4,"[51, 53, 56, 59]","[""O(amide_carbonyl)"", ""N(aromatic)"", ""N(aromatic)"", ""O(amide_carbonyl)""]",CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,Gd,9,1,nitrate,family template replan: large_rigid_filtered_4dent
