family,descriptor,n_loose,fit_r2_loose,n_tight,fit_r2_tight,block,delta
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_C_13,5,0.231705996441551,5,0.3655765917921201,g6,0.1338705953505691
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_C_14,5,0.029431496870521157,5,0.25850314495896565,g6,0.2290716480884445
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_C_15,5,0.009739222294401273,5,0.02144189687793352,g6,0.011702674583532247
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_C_16,5,0.04900929449364255,5,0.3884981446602128,g6,0.33948885016657027
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_C_17,5,0.12254723261326539,5,0.31653915953130385,g6,0.19399192691803846
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_C_18,5,0.09780002492994577,5,0.005637490755790231,g6,-0.09216253417415554
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_C_19,5,0.5377286682411313,5,0.16905852076743466,g6,-0.36867014747369664
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_C_20,5,0.2594311364197135,5,0.029821095626875183,g6,-0.2296100407928383
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_C_21,5,0.0008734627713238297,5,0.019187016828669967,g6,0.018313554057346138
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_C_22,5,0.06174824513546928,5,0.11164666877007579,g6,0.049898423634606504
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_C_23,5,0.13862317436672134,5,0.17604004525666628,g6,0.03741687088994494
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_C_24,5,0.22253093815467317,5,0.19279098474908662,g6,-0.02973995340558655
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_C_25,5,0.3116466477270048,5,0.1871983601297309,g6,-0.12444828759727389
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_C_26,5,0.39729670808308715,5,0.17660404616727554,g6,-0.2206926619158116
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_C_27,5,0.4711295573743388,5,0.16700403806330943,g6,-0.3041255193110294
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_C_28,5,0.5295966351476451,5,0.15961359105378436,g6,-0.36998304409386074
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_N_00,5,0.6309241518703255,5,0.6269088757999186,g6,-0.004015276070406859
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_N_01,5,0.5969820046464183,5,0.5878428177313995,g6,-0.009139186915018804
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_N_02,5,0.5411063556395742,5,0.5105120902079205,g6,-0.030594265431653667
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_N_03,5,0.3725476550160123,5,0.2450661127521082,g6,-0.12748154226390407
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_N_04,5,0.5712811754588546,5,0.5259768762471483,g6,-0.04530429921170631
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_N_05,5,0.4500383868470027,5,0.4194286611691904,g6,-0.030609725677812283
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_N_06,5,0.36849086887892035,5,0.36190850878039293,g6,-0.006582360098527418
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_N_07,5,0.29881475060966256,5,0.32681095190156806,g6,0.027996201291905498
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_N_08,5,0.23999898036288658,5,0.3054496251180655,g6,0.06545064475517892
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_N_09,5,0.1921377675929613,5,0.2926528137944181,g6,0.10051504620145679
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_N_10,5,0.15434529189276014,5,0.28509311357124123,g6,0.1307478216784811
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_N_11,5,0.12505795850986257,5,0.2806735132396607,g6,0.15561555472979816
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_O_00,5,0.7049190242772769,5,0.5917854982482913,g6,-0.11313352602898563
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_O_01,5,0.832732511120043,5,0.6955180793659728,g6,-0.13721443175407022
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_O_02,5,0.792084947296405,5,0.615446693957616,g6,-0.17663825333878902
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_O_03,5,0.02218985400206397,5,0.005820928250053536,g6,-0.016368925752010433
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_O_04,5,0.9055107665367778,5,0.7060173940505561,g6,-0.19949337248622168
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_O_05,5,0.6946786927285874,5,0.6811197181029667,g6,-0.013558974625620723
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_O_06,5,0.34278890068121803,5,0.5226626258911855,g6,0.17987372520996747
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_O_07,5,0.025352305394741315,5,0.22350568856831943,g6,0.1981533831735781
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_O_08,5,0.5155767707592098,5,0.6610326352247127,g6,0.14545586446550285
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_O_09,5,0.2573935399781717,5,0.7964984812781535,g6,0.5391049412999818
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_O_10,5,0.54295618926164,5,0.6797546557473055,g6,0.13679846648566552
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_O_11,5,0.4185293934470745,5,0.5759285356720483,g6,0.15739914222497375
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_O_12,5,0.32720933230367144,5,0.5036261633579227,g6,0.1764168310542512
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_O_13,5,0.24780907140137098,5,0.44792190095322726,g6,0.20011282955185627
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_O_14,5,0.1807315887160008,5,0.40484153661696487,g6,0.22410994790096406
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_O_15,5,0.1268827260043729,5,0.3718693918539653,g6,0.2449866658495924
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_O_16,5,0.08565707366125763,5,0.34690164889785136,g6,0.2612445752365937
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_H_00,5,0.0586288272137272,5,0.14205015169522506,g6,0.08342132448149786
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_H_01,5,0.10716670297871833,5,0.1442087716221876,g6,0.03704206864346926
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_H_02,5,0.1733659731106053,5,0.15377495700358101,g6,-0.019591016107024295
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_H_03,5,0.24831965266924538,5,0.19793321206669423,g6,-0.05038644060255115
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_H_04,5,0.30685520033302816,5,0.3097222767978508,g6,0.0028670764648226488
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_H_05,5,0.3075588431591705,5,0.0016030839567306998,g6,-0.3059557592024398
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_H_06,5,0.1650927682844453,5,0.061198187861721265,g6,-0.10389458042272404
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_H_07,5,0.3191581234402503,5,0.004695823809673927,g6,-0.31446229963057637
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_H_08,5,0.6155509509924015,5,8.634115430394829e-07,g6,-0.6155500875808585
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_H_09,5,0.39121589069460927,5,0.04601821314876031,g6,-0.34519767754584896
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_H_10,5,0.30078395579588624,5,0.21879361230796235,g6,-0.08199034348792389
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_H_11,5,0.8261366743275906,5,0.3478694194789582,g6,-0.4782672548486324
