geometry_key,metal,n_atoms,n_add,metal_index,no_bond_min_0,no_bond_max_0,ono_sum_0,n_oop_0,no_bond_min_1,no_bond_max_1,ono_sum_1,n_oop_1,min_H_to_nitrate_O,n_inner_O,lnn_max,lnn_min,binding_modes,n_inner_nitrate,rmsd_vs_control,n_donors,dLn_donor_max_delta,dij_donor_max_delta,adjacency_changed_pairs,cn_ligand_shipped,cn_ligand_control,cn_ligand_out,donors_displaced,displacement_allowance,neutral_force_max,neutral_converged,neutral_meets_target,neutral_downgraded,control_force_max,control_converged,control_meets_target,control_downgraded,reject_code,no_bond_min_2,no_bond_max_2,ono_sum_2,n_oop_2,cn_ligand_in,reject_detail
59|CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1|nitrate,Pr,296.0,3.0,0.0,1.2240640016460005,1.2409453647058328,359.9975855905684,0.0035052230666574313,1.2271865991249027,1.236362618347603,359.99969946095996,0.0012376268731263407,1.8380228170464181,0.0,7.370766739423167,4.598676903549202,outer|outer|outer,0.0,2.381685015017788,9.0,0.2927540748135753,1.1425668024918343,0.0,9.0,9.0,9.0,0.0,0.0,0.011437658425126328,True,True,False,0.005013025268284586,True,True,False,accepted,1.2263307246529795,1.2383480675116936,359.99441671830175,0.0053310821518594564,,
59|CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-]|nitrate,Pr,373.0,3.0,0.0,1.2309959100746286,1.2332632705190731,359.9929384765349,0.005999941119276819,1.2307063196485202,1.233844709085241,359.99999772974263,0.00010758306390623584,2.288295433626669,0.0,8.131305984520289,6.716101427170723,outer|outer|outer,0.0,0.5698069139375861,9.0,0.0458561856693569,0.14413145519676718,0.0,9.0,9.0,9.0,0.0,0.0,0.010864060044136615,True,True,False,0.003696894337638633,True,True,False,accepted,1.2303426899006409,1.234976402680338,359.99997302908275,0.00037078528022574733,,
59|CCCCCCN(C)C(=O)CC(=O)N(C)CCCCCC|nitrate,Pr,236.0,3.0,0.0,1.2280410240264275,1.2372930193921514,359.9788217577451,0.01038377932264356,1.2246305922724479,1.2414441110010912,359.99185890162767,0.006442118464771166,1.911472624016393,3.0,4.492983257478295,2.5844134386570325,outer|inner|inner,2.0,2.683755686026627,9.0,2.069077881477806,2.456487767920577,,,,,,,,,,,,,,,LIGAND_MOVED,1.2160438052479388,1.224073023383603,359.53100188869996,0.04847622035276247,,
59|CCCCCCN(CCCCCC)C(=O)CC(=O)N(CCCCCC)CCCCCC|nitrate,Pr,356.0,3.0,0.0,1.2174495286530873,1.2469042035540046,359.9903691806332,0.007008450604349223,1.2295710447569388,1.2332069892348494,359.9936788472109,0.005676285210933912,1.7721263458145478,1.0,6.973433837564368,3.684436237549092,inner|outer|outer,1.0,1.053631020599346,9.0,0.9753302344772985,1.3530022115590947,0.0,9.0,9.0,8.0,1.0,2.0,0.016860831288435615,True,True,False,0.002093716444027253,True,True,False,accepted,1.228286587070171,1.2348590980130267,359.9901775346051,0.007075140747640013,,
59|CCCCCCc1ccc(N(CC)C(=O)c2cccc(-c3cccc(C(=O)N(CC)c4ccc(CCCCCC)cc4)n3)n2)cc1|nitrate,Pr,208.0,3.0,0.0,1.230048912446299,1.232351959854207,359.9797151919463,0.010165740959797609,1.2124191961915696,1.2310595674785119,359.6991394597152,0.0388083163804081,2.3473150239422904,3.0,4.894088980509307,2.65866512430438,outer|inner|inner,2.0,2.445169599435006,9.0,0.4455636308780724,1.7749430686826906,0.0,9.0,9.0,9.0,0.0,4.0,0.00741555959877326,True,True,False,0.007081625211939444,True,True,False,accepted,1.227527220523809,1.2384432146142745,359.98823131427844,0.007744361825306245,,
59|CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC|nitrate,Pr,107.0,1.0,0.0,1.2054515478378676,1.22699624236818,359.9476962985316,0.01614252119357973,,,,,2.5334008252198768,2.0,2.5508715110163798,2.5508715110163798,inner,1.0,1.0924955487164816,11.0,0.22381699694204737,1.7505871378894358,0.0,10.0,11.0,10.0,1.0,2.0,0.0067066827187980925,True,True,False,0.014745989125767732,True,True,False,accepted,,,,,,
59|CCCCN(CCCC)C(=O)CC(=O)N(CCCC)CCCC|nitrate,Pr,260.0,3.0,0.0,1.2169420671581554,1.2235792988071343,359.8643621767101,0.026046543286094848,1.222771007830221,1.247285405751083,359.91824538285533,0.020418237851634796,1.9606190203383045,5.0,3.5819871412374833,2.637314862112639,inner|inner|inner,3.0,2.6079671794235217,9.0,2.5808929518884334,3.7894464701937367,,,,,,,,,,,,,,,LIGAND_MOVED,1.2154758680878117,1.2233575002654467,359.9265982745731,0.019166842925571137,,
59|CCCCN(CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCC)CCCC)nc3c2n1|nitrate,Pr,172.0,3.0,0.0,1.2117471610571466,1.2302036560570335,359.6715403581681,0.0405668683401751,1.2113680380253204,1.2301739797821667,359.8232207150707,0.02979217384253765,1.932977340889284,4.0,4.785634016651111,2.6770331091655253,inner|inner|outer,2.0,1.5834388307858116,9.0,2.3547497567176263,3.8456673940656505,0.0,9.0,9.0,8.0,1.0,4.0,0.01424260490315506,True,True,False,0.003994580536987508,True,True,False,accepted,1.2308764356675694,1.2326356644641914,359.9883897352962,0.007692194862651547,,
59|CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC|nitrate,Pr,172.0,3.0,0.0,1.210407785174347,1.2258842995718038,359.9641486085508,0.013390316524307805,1.2296280703046605,1.2355038834109808,359.99681389721985,0.004029524936897982,2.06922068970327,2.0,6.507387344318,2.433494856257053,inner|outer|outer,1.0,0.9149705381478471,9.0,0.8417156221544579,1.3654131864695715,0.0,9.0,9.0,8.0,1.0,2.0,0.006783430856564606,True,True,False,0.004886166192904308,True,True,False,accepted,1.2274716168293351,1.2369751542276681,359.9858072810881,0.008503214819421429,,
59|CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC|nitrate,Pr,196.0,3.0,0.0,1.2221845380185274,1.2434817188015608,359.99986182301745,0.0008390483141145592,1.228842411938826,1.2348656627808572,359.98428405575856,0.008949593680435408,2.3448884017851626,1.0,4.700207621856212,4.135694188252378,inner|outer|outer,1.0,1.1155288105068708,9.0,0.1885291789738246,0.996743461671175,0.0,9.0,9.0,9.0,0.0,2.0,0.017321283840116313,True,True,False,0.005910311075963127,True,True,False,accepted,1.2306278570340325,1.2326939963515469,359.98619428002735,0.008389003230846126,,
59|CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1|nitrate,Pr,160.0,3.0,0.0,1.2189538495421728,1.2418836984348403,359.9978875374035,0.0032823936751769645,1.220973298443245,1.2444239794007508,359.95653489940435,0.0148930119129596,1.7342547953173568,2.0,4.084639320291839,3.553988938256454,inner|inner|outer,2.0,1.4860236991692384,9.0,0.38325850136085693,1.4924838536395555,0.0,9.0,9.0,9.0,0.0,4.0,0.007062853423101264,True,True,False,0.0032934654967756,True,True,False,accepted,1.2271886475182214,1.242891860413407,359.9925636809268,0.006159027347044793,,
59|CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)ccc3C)n2)n1)c1cc(C)ccc1C|nitrate,Pr,160.0,3.0,0.0,1.213349755942866,1.2282917162395497,359.82070978401623,0.029979300326660276,1.2211416648082418,1.241848012340177,359.9699225914059,0.012378196472784257,1.7844918971482973,3.0,5.099550603767358,2.6336558329806077,inner|inner|outer,2.0,2.1543107687266017,9.0,0.5159704679579309,1.80623212196361,0.0,9.0,9.0,9.0,0.0,4.0,0.003937606844389241,True,True,False,0.009169040370278068,True,True,False,accepted,1.223971710509459,1.238769342204055,359.99793716718494,0.003241450261172507,,
59|CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C|nitrate,Pr,160.0,3.0,0.0,1.2099862080688395,1.2330727692434762,359.951161047597,0.015646259350078462,1.2261887089107135,1.2374834254750164,359.99979219621275,0.0010287338701859688,1.8146362384938541,2.0,5.910778156252637,2.5361953822130694,inner|outer|outer,1.0,1.6792969955229016,9.0,0.28694205439727494,1.5363183885773077,0.0,9.0,9.0,9.0,0.0,2.0,0.010675169928591601,True,True,False,0.0017584973829980204,True,True,False,accepted,1.2290377226454294,1.2336581302324672,359.99377688583223,0.005632835564413741,,
59|CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccccc3)n2)n1)c1ccccc1|nitrate,Pr,136.0,3.0,0.0,1.2105401007618397,1.2307396924508778,359.7064277214227,0.03834060301070483,1.2209728024101243,1.2394863519970578,359.9983558996836,0.002897166552085592,1.7761364043602637,3.0,5.168681477669569,2.619778561926595,inner|inner|outer,2.0,1.5866755830150217,9.0,0.45549232974642484,1.4245899568108018,0.0,9.0,9.0,9.0,0.0,4.0,0.012786319030122338,True,True,False,0.001662744999217291,True,True,False,accepted,1.2303628361794874,1.2324563625524032,359.99870067776874,0.0025729717147018882,,
59|CCN(C(=O)c1cccc(C(=O)N(CC)c2ccc(C)cc2)n1)c1ccc(C)cc1|nitrate,Pr,184.0,3.0,0.0,1.230181720087496,1.2334968878677954,359.9998168565713,0.000965969907079478,1.2124032938960259,1.2304741146558904,359.8503972067102,0.0273952090027334,2.4227538961379054,2.0,4.820504636733157,2.641826093044264,outer|inner|outer,1.0,1.323345221975504,9.0,0.2943239727691185,1.4646825172200577,0.0,9.0,9.0,9.0,0.0,2.0,0.009421942286908427,True,True,False,0.003348164180108343,True,True,False,accepted,1.2304889499406084,1.232433752949536,359.9971081088918,0.0038388230458026307,,
59|CCN(C(=O)c1cccc(C(=O)N(CC)c2cccc(C)c2)n1)c1cccc(C)c1|nitrate,Pr,184.0,3.0,0.0,1.2243103697985596,1.2435137474193252,359.9952930816311,0.0048996349303629255,1.2094730543972156,1.2249545781488587,359.93656784376805,0.01780420324918708,2.2413322145629095,3.0,5.229299669155526,2.599761173125678,inner|inner|outer,2.0,2.0038784134109306,9.0,0.4262424288136235,1.8669692640210491,0.0,9.0,9.0,9.0,0.0,4.0,0.009724170069725273,True,True,False,0.004345883678040299,True,True,False,accepted,1.2298991569311566,1.2321557358106618,359.99699454056315,0.0039120077270769285,,
59|CCN(C(=O)c1cccc(C(=O)N(CC)c2ccccc2C)n1)c1ccccc1C|nitrate,Pr,184.0,3.0,0.0,1.2299184548928361,1.2321402772519796,359.9997678423485,0.0010873325034570502,1.211911231229861,1.2283223056824242,359.9076097015463,0.021513420667439,2.2536725938779543,2.0,6.957079063307491,2.6348596993580236,outer|inner|outer,1.0,1.6080003491603536,9.0,0.5057242478260497,1.6366009022510033,0.0,9.0,9.0,9.0,0.0,2.0,0.010812582056935771,True,True,False,0.007513443820744027,True,True,False,accepted,1.2306253919537353,1.2340734354812313,359.97842481436936,0.010487910100677289,,
59|CCN(CC)C(=O)COCC(=O)N(CC)CC|nitrate,Pr,136.0,3.0,0.0,1.2096047209364131,1.2306765874662378,359.93155848727355,0.018508462379153878,1.2269378249025582,1.2345144538938417,359.99625881645045,0.004362455372440663,2.203157088891986,2.0,6.959020968591139,2.5046293186086226,inner|outer|outer,1.0,1.468996309250844,9.0,0.7328799926334195,1.2984532229707502,0.0,9.0,9.0,8.0,1.0,2.0,0.00813751205407056,True,True,False,0.0035880472517966725,True,True,False,accepted,1.230971140788443,1.2325431662879116,359.9894292673025,0.0073407485416403795,,
59|CCc1ccc(N(CC)C(=O)c2ccc3ccc4ccc(C(=O)N(CC)c5ccc(CC)cc5)nc4c3n2)cc1|nitrate,Pr,164.0,3.0,0.0,1.2291322885176885,1.2336299769664443,359.9999707850948,0.00038573821057588664,1.2117014301741995,1.2294778551149348,359.8000983960552,0.03163941142549398,1.8651499540505863,3.0,5.236639008173618,2.6385207247679103,outer|inner|inner,2.0,1.4634953536953743,9.0,0.41679425736529074,1.9417446364747302,0.0,9.0,9.0,9.0,0.0,4.0,0.008404236769248735,True,True,False,0.010148940099242004,True,True,False,accepted,1.219064871660187,1.2450459241943588,359.997420300553,0.0036282856034537403,,
