tags,n_seeds,ranked,n_rows,n_pairs,adj_r2,ref_adj_r2,err_corr,blend50_adj_r2,arch,preset,no_triangles,topology_only,pair_loss_weight,select_on,level_weight,block_key,block_centre,film,pair_head,pair_head_weight,pair_reconcile,geometry,extra_block_mean,node_angular,angular_readout,attn_pool,aux_target,conformers,pretrain_epochs,filtration_max,heavy_only,dim,layers,dropout,head_hidden,lr,weight_decay,epochs,batch_rows,folds,repeats,restrict_groups,pair_adj_weight,pair_adj_only,pair_loss_kind,pair_metric_align,radius_slope,radius_slope_u,radial_bins,radial_max,rbf_bins,rbf_max,edge_asset,level_loss,level_huber_delta,pair_subsample,level_quantile
"c6q_q75_s11,c6q_q75_s23",4,False,3567,604,0.1836108949315275,0.22348566199544928,0.8165002833543495,0.27733820133626264,dist,baseline_2d,False,False,2.0,adjacent,,,False,False,False,1.0,False,full,False,False,False,False,,1,0,3.5,True,96,3,0.15,256,0.002,0.0001,60,64,5,1,screen_select_extractants.txt,3.0,False,sq,False,off,block,,,,,,quantile,1.0,1.0,0.75
"c6_c6_tabular_basis_s11,c6_c6_tabular_basis_s23",4,False,3567,604,0.1832404289551245,0.22348566199544928,0.8561515638830725,0.2608077888771144,tabular,baseline_2d,False,False,2.0,adjacent,,,False,False,False,1.0,False,full,False,False,False,False,,1,0,3.5,True,96,3,0.15,256,0.002,0.0001,60,64,5,1,screen_select_extractants.txt,3.0,False,sq,False,basis,block,,,,,,huber,1.0,1.0,0.5
"c6w_w20_s11,c6w_w20_s23",4,False,3567,604,0.18247457851627824,0.22348566199544928,0.8268679301839472,0.2721610512501923,dist,baseline_2d,False,False,2.0,adjacent,,,False,False,False,1.0,False,full,False,False,False,False,,1,0,3.5,True,96,3,0.15,256,0.002,0.0001,60,64,5,1,screen_select_extractants.txt,3.0,False,sq,False,off,block,,,,,,huber,1.0,0.02,0.5
"c6_y2_c80_s11,c6_y2_c80_s23",12,True,3567,604,0.18038712027873594,0.22348566199544928,0.8493418385284864,0.26253775038131943,dist,baseline_2d_mphys,False,False,2.0,adjacent,,,False,False,False,1.0,False,full,False,False,False,False,,1,0,8.0,True,96,3,0.15,256,0.002,0.0001,60,64,5,1,screen_select_extractants.txt,3.0,False,sq,False,off,block,,,128.0,8.0,c80,huber,1.0,1.0,0.5
"c6sm_sm_water_s11,c6sm_sm_water_s23",8,False,3512,584,0.1787891074247303,0.22623833242908375,0.8539224936311823,0.26211344611438503,dist,baseline_2d,False,False,2.0,adjacent,,,False,False,False,1.0,False,water,False,False,False,False,,1,0,4.0,True,96,3,0.15,256,0.002,0.0001,60,64,5,1,solvent_matched_extractants.txt,3.0,False,sq,False,off,block,,,64.0,,,huber,1.0,1.0,0.5
"c6_y1_c60_s11,c6_y1_c60_s23",12,True,3567,604,0.17546599029516863,0.22348566199544928,0.8513782066136341,0.2598321506464394,dist,baseline_2d_mphys,False,False,2.0,adjacent,,,False,False,False,1.0,False,full,False,False,False,False,,1,0,6.0,True,96,3,0.15,256,0.002,0.0001,60,64,5,1,screen_select_extractants.txt,3.0,False,sq,False,off,block,,,96.0,6.0,c60,huber,1.0,1.0,0.5
"c6_x6_mae_f40_s11,c6_x6_mae_f40_s211",12,True,3567,604,0.17175563643854685,0.22348566199544928,0.8495201564521443,0.2585180903355846,dist,baseline_2d,False,False,2.0,adjacent,,,False,False,False,1.0,False,full,False,False,False,False,,1,0,4.0,True,96,3,0.15,256,0.002,0.0001,60,64,5,1,screen_select_extractants.txt,3.0,False,sq,False,off,block,,,64.0,,,mae,1.0,1.0,0.5
"c6q_q90_s11,c6q_q90_s23",4,False,3567,604,0.16883797715781657,0.22348566199544928,0.7854760318449509,0.28256841264677324,dist,baseline_2d,False,False,2.0,adjacent,,,False,False,False,1.0,False,full,False,False,False,False,,1,0,3.5,True,96,3,0.15,256,0.002,0.0001,60,64,5,1,screen_select_extractants.txt,3.0,False,sq,False,off,block,,,,,,quantile,1.0,1.0,0.9
"c6q_q70_s11,c6q_q70_s23",4,False,3567,604,0.1669532778236038,0.22348566199544928,0.8085095794606083,0.2725730742764071,dist,baseline_2d,False,False,2.0,adjacent,,,False,False,False,1.0,False,full,False,False,False,False,,1,0,3.5,True,96,3,0.15,256,0.002,0.0001,60,64,5,1,screen_select_extractants.txt,3.0,False,sq,False,off,block,,,,,,quantile,1.0,1.0,0.7
"c6_x7_d02_w10_s11,c6_x7_d02_w10_s23",4,False,3567,604,0.1665773060382605,0.22348566199544928,0.8464553248846043,0.25832957572371573,dist,baseline_2d,False,False,2.0,adjacent,,,False,False,False,1.0,False,full,False,False,False,False,,1,0,3.5,True,96,3,0.15,256,0.002,0.0001,60,64,5,1,screen_select_extractants.txt,10.0,False,sq,False,off,block,,,,,,huber,0.2,1.0,0.5
"c6_h0_sub075_s211,c6_h0_sub075_s223",12,True,3567,604,0.16614332854666214,0.22348566199544928,0.858178588172384,0.2528052716962561,dist,baseline_2d,False,False,2.0,adjacent,,,False,False,False,1.0,False,full,False,False,False,False,,1,0,3.5,True,96,3,0.15,256,0.002,0.0001,60,64,5,1,screen_select_extractants.txt,3.0,False,sq,False,off,block,,,,,,huber,1.0,0.075,0.5
