family,metal_lo,metal_hi,li_lo,d_index,anchor_offset_lo,anchor_offset_hi,rmsd_heavy,d_mean_md,d_radius,n_donor_lo,n_donor_hi,n_atoms
CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1||nitrate||8||2||2||nitrate,Ho,Er,11,1,-1,0,0.023892570910093825,-0.005715862180310172,-0.010999999999999899,9,9,131
CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1||nitrate||8||2||2||nitrate,Er,Tm,12,1,0,1,0.025499810568443245,-0.0076810083111160665,-0.010000000000000009,9,9,131
CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1||nitrate||9||3||0||nitrate,La,Ce,1,1,-3,-2,0.07695175489167506,-0.01746529367136196,-0.016999999999999904,9,9,190
CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1||nitrate||9||3||0||nitrate,Ce,Pr,2,1,-2,-1,0.033456928588637094,-0.011161873280526091,-0.017000000000000126,9,9,190
CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1||nitrate||9||3||0||nitrate,Pr,Nd,3,1,-1,0,1.4367725834302774e-15,0.0,-0.016999999999999904,9,9,190
CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1||nitrate||9||3||0||nitrate,Sm,Eu,6,1,2,3,0.006271607297671638,-0.0024307495807232016,-0.0129999999999999,9,9,190
CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1||nitrate||9||3||0||nitrate,Eu,Gd,7,1,3,4,0.00954566837457325,-0.002406615664623857,-0.013000000000000123,9,9,190
CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC||nitrate||8||4||0||nitrate,Tb,Dy,9,1,-1,0,0.012772555429826984,-0.0033824637751491693,-0.013000000000000123,8,8,341
CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC||nitrate||9||4||1||nitrate,Eu,Gd,7,1,4,5,0.005843995549752183,-0.0028849299930340244,-0.013000000000000123,9,9,344
CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC||nitrate||9||3||0||nitrate,La,Ce,1,1,-1,0,0.524002962788626,0.0019360711579894385,-0.016999999999999904,9,9,277
CCCCCCCCN(C)C(=O)CC(=O)N(C)CCCCCCCC||nitrate||8||4||0||nitrate,Tb,Dy,9,1,-1,0,0.0018544527834103719,-0.003085927638396768,-0.013000000000000123,8,8,269
CCCCCCCCN(C)C(=O)CC(=O)N(C)CCCCCCCC||nitrate||9||4||1||nitrate,Pr,Nd,3,1,-1,0,0.0015589923154036545,-0.002270791782885251,-0.016999999999999904,9,9,272
CCCCCCCCN(C)C(=O)CC(=O)N(C)CCCCCCCC||nitrate||9||4||1||nitrate,Sm,Eu,6,1,2,3,0.013717723467351693,-0.0029293185572201175,-0.0129999999999999,9,9,272
CCCCCCCCN(C)C(=O)CC(=O)N(C)CCCCCCCC||nitrate||9||4||1||nitrate,Eu,Gd,7,1,3,4,0.006989097974611995,-0.0029506824172780277,-0.013000000000000123,9,9,272
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC||nitrate||9||3||0||nitrate,La,Ce,1,1,-2,-1,0.10929684533546857,-0.01847608699760528,-0.016999999999999904,9,9,214
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC||nitrate||9||3||0||nitrate,Ce,Pr,2,1,-1,0,0.011515869982986439,-0.005509603834087606,-0.017000000000000126,9,9,214
