metal_dir,file_stem,xyz_path,mol2_path,has_mol2,file_size_xyz,file_size_mol2,metal_symbol,atomic_number,oxidation_state,coreCN,n_ligs,inner_sphere_anion,geometry_hash,parsed_name_ok
La,La_Z57_ox3_CN9_nlig3_nitrate_8dec8fe1a8d7,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_8dec8fe1a8d7.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_8dec8fe1a8d7.mol2,True,56085,34806,La,57,3,9,3,nitrate,8dec8fe1a8d7,True
La,La_Z57_ox3_CN9_nlig3_nitrate_8f6217e6a4f8,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_8f6217e6a4f8.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_8f6217e6a4f8.mol2,True,72931,45179,La,57,3,9,3,nitrate,8f6217e6a4f8,True
La,La_Z57_ox3_CN9_nlig3_nitrate_a6516ffeed2a,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_a6516ffeed2a.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_a6516ffeed2a.mol2,True,42045,26166,La,57,3,9,3,nitrate,a6516ffeed2a,True
La,La_Z57_ox3_CN9_nlig3_nitrate_a99febda67a7,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_a99febda67a7.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_a99febda67a7.mol2,True,53278,33078,La,57,3,9,3,nitrate,a99febda67a7,True
La,La_Z57_ox3_CN9_nlig3_nitrate_afde862bf06d,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_afde862bf06d.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_afde862bf06d.mol2,True,56084,34806,La,57,3,9,3,nitrate,afde862bf06d,True
La,La_Z57_ox3_CN9_nlig3_nitrate_b962af2d7020,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_b962af2d7020.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_b962af2d7020.mol2,True,53279,33075,La,57,3,9,3,nitrate,b962af2d7020,True
La,La_Z57_ox3_CN9_nlig3_nitrate_c14689bc7575,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_c14689bc7575.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_c14689bc7575.mol2,True,20514,12990,La,57,3,9,3,nitrate,c14689bc7575,True
La,La_Z57_ox3_CN9_nlig3_nitrate_cd94e829f2f9,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_cd94e829f2f9.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_cd94e829f2f9.mol2,True,30811,19254,La,57,3,9,3,nitrate,cd94e829f2f9,True
La,La_Z57_ox3_CN9_nlig3_nitrate_d917c0c26159,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_d917c0c26159.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_d917c0c26159.mol2,True,53745,33438,La,57,3,9,3,nitrate,d917c0c26159,True
La,La_Z57_ox3_CN9_nlig3_nitrate_e6f1d9a5abba,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_e6f1d9a5abba.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_e6f1d9a5abba.mol2,True,61698,38262,La,57,3,9,3,nitrate,e6f1d9a5abba,True
La,La_Z57_ox3_CN9_nlig3_nitrate_e8ea064a4c49,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_e8ea064a4c49.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_e8ea064a4c49.mol2,True,56551,35166,La,57,3,9,3,nitrate,e8ea064a4c49,True
La,La_Z57_ox3_CN9_nlig3_nitrate_e90baf173312,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_e90baf173312.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_e90baf173312.mol2,True,53276,33075,La,57,3,9,3,nitrate,e90baf173312,True
La,La_Z57_ox3_CN9_nlig3_nitrate_ef67e719ab98,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_ef67e719ab98.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_ef67e719ab98.mol2,True,42044,26166,La,57,3,9,3,nitrate,ef67e719ab98,True
La,La_Z57_ox3_CN9_nlig3_nitrate_f06ae7567ce5,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_f06ae7567ce5.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_f06ae7567ce5.mol2,True,21452,13710,La,57,3,9,3,nitrate,f06ae7567ce5,True
La,La_Z57_ox3_CN9_nlig3_nitrate_f804d5d017c2,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_f804d5d017c2.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_f804d5d017c2.mol2,True,33621,20979,La,57,3,9,3,nitrate,f804d5d017c2,True
La,La_Z57_ox3_CN9_nlig3_nitrate_f8e1f196a8a6,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_f8e1f196a8a6.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_f8e1f196a8a6.mol2,True,43445,27035,La,57,3,9,3,nitrate,f8e1f196a8a6,True
La,La_Z57_ox3_CN9_nlig3_water_03dd780e91d8,data/geometries/La/La_Z57_ox3_CN9_nlig3_water_03dd780e91d8.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig3_water_03dd780e91d8.mol2,True,70125,43446,La,57,3,9,3,water,03dd780e91d8,True
La,La_Z57_ox3_CN9_nlig3_water_1f713626bd1d,data/geometries/La/La_Z57_ox3_CN9_nlig3_water_1f713626bd1d.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig3_water_1f713626bd1d.mol2,True,53278,33078,La,57,3,9,3,water,1f713626bd1d,True
La,La_Z57_ox3_CN9_nlig3_water_2d0e04539acd,data/geometries/La/La_Z57_ox3_CN9_nlig3_water_2d0e04539acd.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig3_water_2d0e04539acd.mol2,True,64505,40005,La,57,3,9,3,water,2d0e04539acd,True
La,La_Z57_ox3_CN9_nlig3_water_3e0312555ae1,data/geometries/La/La_Z57_ox3_CN9_nlig3_water_3e0312555ae1.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig3_water_3e0312555ae1.mol2,True,64507,40005,La,57,3,9,3,water,3e0312555ae1,True
La,La_Z57_ox3_CN9_nlig3_water_4a46d09e5596,data/geometries/La/La_Z57_ox3_CN9_nlig3_water_4a46d09e5596.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig3_water_4a46d09e5596.mol2,True,53274,33092,La,57,3,9,3,water,4a46d09e5596,True
La,La_Z57_ox3_CN9_nlig3_water_7e5952e60ece,data/geometries/La/La_Z57_ox3_CN9_nlig3_water_7e5952e60ece.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig3_water_7e5952e60ece.mol2,True,20514,13059,La,57,3,9,3,water,7e5952e60ece,True
La,La_Z57_ox3_CN9_nlig3_water_7f50bafcf653,data/geometries/La/La_Z57_ox3_CN9_nlig3_water_7f50bafcf653.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig3_water_7f50bafcf653.mol2,True,56550,35166,La,57,3,9,3,water,7f50bafcf653,True
La,La_Z57_ox3_CN9_nlig3_water_89b393ce8294,data/geometries/La/La_Z57_ox3_CN9_nlig3_water_89b393ce8294.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig3_water_89b393ce8294.mol2,True,55148,34371,La,57,3,9,3,water,89b393ce8294,True
